,58,200,12.86,0,0,-.385
102,2010,79,2400,13.73,0,0,-.479
102,2010,80,100,13.73,0,0,-.512
102,2010,80,200,13.73,0,0,-.567
102,2010,80,300,13.75,0,0,-.556
102,2010,80,400,13.76,0,0,-.584
102,2010,80,500,13.77,0,0,-.551
102,2010,80,600,13.78,0,0,-.556
102,2010,80,700,13.78,0,0,-.573
102,2010,80,800,13.78,115.95,0,-.666
102,2010,80,900,13.78,492.42,0,-.286
102,2010,80,1000,13.77,1140.9,0,-.259
102,2010,80,1100,13.75,1296.8,0,-.248
102,2010,80,1200,13.74,1375.7,0,-.281
102,2010,80,1300,13.72,921.35,0,-.281
102,2010,80,1400,13.7,875.09,0,-.242
102,2010,80,1500,13.69,750.86,0,-.242
102,2010,80,1600,13.68,746.67,0,-.242
102,2010,80,1700,13.68,352.94,0,-.49
102,2010,80,1800,13.73,308.93,0,-.446
102,2010,80,1900,13.72,179.15,0,-.253
102,2010,80,2000,13.72,5.4503,0,-.253
102,2010,80,2100,13.73,0,0,-.275
102,2010,80,2200,13.73,0,0,-.336
102,2010,80,2300,13.73,0,0,-.27
101,2010,80,2400,13.68,8562.2,0
102,2010,80,2400,13.73,0,0,-.248
102,2010,81,100,13.74,0,0,-.237
102,2010,81,200,13.75,0,0,-.424
102,2010,81,300,13.75,0,0,-.473
102,2010,81,400,13.76,0,0,-.567
102,2010,81,500,13.77,0,0,-.567
102,2010,81,600,13.77,0,0,-.534
102,2010,81,700,13.77,.03832,0,-.534
102,2010,81,800,13.77,89.234,0,-.584
102,2010,81,900,13.78,476.8,0,-.451
102,2010,81,1000,13.77,1277.1,0,-.209
102,2010,81,1100,13.75,1600.6,0,-.259
102,2010,81,1200,13.48,1003.7,0,-.27
102,2010,81,1300,13.74,1103.5,0,-.253
102,2010,81,1400,13.72,1001.3,0,-.248
102,2010,81,1500,13.71,1002.3,0,-.248
102,2010,81,1600,13.7,564.76,0,-.27
102,2010,81,1700,13.68,604.44,0,-.281
102,2010,81,1800,13.67,461.23,0,-.264
102,2010,81,1900,13.68,105.67,0,-.347
102,2010,81,2000,13.7,2.8447,0,-.198
