timestamp,latitude,longitude,GHI,DNI,DHI
2024-04-02,3.0,33.0,4.93,2.78,2.2
2024-04-03,3.0,33.0,3.93,0.32,2.87
2024-04-04,3.0,33.0,5.24,1.04,3.48
2024-04-05,3.0,33.0,5.42,2.5,3.06
2024-04-06,3.0,33.0,6.29,4.96,2.76
2024-04-07,3.0,33.0,4.13,0.59,2.83
2024-04-08,3.0,33.0,5.26,1.89,3.15
2024-04-09,3.0,33.0,3.25,0.82,2.16
2024-04-10,3.0,33.0,5.18,2.24,2.76
2024-04-11,3.0,33.0,5.85,3.53,2.63
2024-04-12,3.0,33.0,4.77,1.79,2.9
2024-04-13,3.0,33.0,5.41,3.67,3.28
2024-04-14,3.0,33.0,5.73,1.67,3.7
2024-04-15,3.0,33.0,4.04,0.42,2.83
2024-04-16,3.0,33.0,5.06,1.93,2.92
2024-04-17,3.0,33.0,6.37,5.14,2.28
2024-04-18,3.0,33.0,5.68,3.57,2.67
2024-04-19,3.0,33.0,5.14,2.75,2.69
2024-04-20,3.0,33.0,6.33,4.75,2.19
2024-04-21,3.0,33.0,4.21,0.37,3.01
2024-04-22,3.0,33.0,6.94,6.41,1.83
2024-04-23,3.0,33.0,5.12,2.97,2.42
2024-04-24,3.0,33.0,5.24,3.74,2.17
2024-04-25,3.0,33.0,5.59,3.19,3.12
2024-04-26,3.0,33.0,5.3,3.56,2.45
2024-04-27,3.0,33.0,5.77,3.38,2.59
2024-04-28,3.0,33.0,4.3,1.71,2.44
2024-04-29,3.0,33.0,5.49,3.1,2.29
2024-04-30,3.0,33.0,6.87,6.62,1.76
2024-05-01,3.0,33.0,5.78,4.54,2.13
2024-05-02,3.0,33.0,5.0,1.8,2.87
2024-05-03,3.0,33.0,3.43,1.14,2.04
2024-05-04,3.0,33.0,1.82,0.05,1.42
2024-05-05,3.0,33.0,5.15,2.49,2.7
2024-05-06,3.0,33.0,5.39,2.05,3.05
2024-05-07,3.0,33.0,6.34,4.99,2.18
2024-05-08,3.0,33.0,6.13,5.1,2.17
2024-05-09,3.0,33.0,4.32,1.55,2.63
2024-05-10,3.0,33.0,5.4,4.07,2.16
2024-05-11,3.0,33.0,7.18,7.59,1.59
2024-05-12,3.0,33.0,7.37,8.8,1.06
2024-05-13,3.0,33.0,6.21,5.0,2.44
2024-05-14,3.0,33.0,5.25,3.51,2.67
2024-05-15,3.0,33.0,5.58,3.33,3.04
2024-05-16,3.0,33.0,5.89,4.9,2.24
2024-05-17,3.0,33.0,6.81,6.46,1.97
2024-05-18,3.0,33.0,6.29,5.55,2.15
2024-05-19,3.0,33.0,4.69,2.81,2.28
2024-05-20,3.0,33.0,5.46,3.91,2.27
2024-05-21,3.0,33.0,5.78,3.44,2.55
2024-05-22,3.0,33.0,5.39,4.13,2.09
2024-05-23,3.0,33.0,5.26,3.58,2.36
2024-05-24,3.0,33.0,4.97,2.11,2.66
2024-05-25,3.0,33.0,5.64,4.36,2.01
2024-05-26,3.0,33.0,5.98,4.54,2.32
2024-05-27,3.0,33.0,6.39,6.0,1.94
2024-05-28,3.0,33.0,6.2,5.17,2.2
2024-05-29,3.0,33.0,5.49,3.47,2.5
2024-05-30,3.0,33.0,6.09,4.55,2.5
2024-05-31,3.0,33.0,6.02,4.24,2.42
2024-06-01,3.0,33.0,5.33,2.71,2.68
2024-06-02,3.0,33.0,5.98,4.18,2.49
