Day,Temperature (C),Temperature (SAT) (C),Rain (mm),GHI_1 (kWh/m2/day),GHI_2 (kWh/m2/day),GHI_SAT (kWh/m2/day),GHI (1) vs (2) (%),GHI (1) vs (SAT) (%),DHI (1) (kWh/m2/day),DHI (SAT) (kWh/m2/day),DHI (1) vs (SAT) (%)
2020-08-16,23.21,23.25,0.0,5.91,5.92,5.32,-0.29,9.98,2.23,2.53,-13.78
2020-08-17,23.45,23.13,0.0,5.74,5.76,6.16,-0.36,-7.35,3.06,2.98,2.75
2020-08-18,22.85,22.33,1.2,6.25,6.26,6.23,-0.19,0.32,2.45,2.63,-7.37
2020-08-19,23.8,22.82,0.0,6.28,6.31,5.66,-0.55,9.78,3.02,2.61,13.67
2020-08-20,23.49,23.07,19.2,6.42,6.44,6.02,-0.29,6.21,2.51,2.53,-0.9
2020-08-21,23.18,23.26,0.0,6.68,6.71,7.06,-0.41,-5.63,2.33,1.94,16.85
2020-08-22,24.42,22.47,0.0,6.5,6.52,6.44,-0.4,0.91,2.04,2.66,-29.94
2020-08-23,23.58,22.58,2.0,6.32,6.34,6.39,-0.34,-1.06,2.7,2.58,4.46
2020-08-24,22.93,21.93,1.2,6.47,6.5,6.78,-0.38,-4.71,2.15,2.58,-19.71
2020-08-25,22.58,21.83,0.0,6.69,6.71,6.41,-0.31,4.16,2.02,2.22,-9.46
2020-08-26,23.3,22.36,0.0,7.29,7.32,7.33,-0.4,-0.62,1.32,1.82,-37.72
2020-08-27,23.86,23.39,12.8,6.98,7.0,6.97,-0.34,0.21,1.84,2.1,-14.21
2020-08-28,22.7,23.33,1.6,6.1,6.14,6.81,-0.74,-11.66,1.93,1.89,2.06
2020-08-29,21.84,22.67,23.8,5.0,5.01,5.45,-0.32,-9.11,2.37,2.49,-5.03
2020-08-30,22.36,22.26,0.0,6.25,6.26,6.67,-0.27,-6.77,1.87,1.79,4.12
2020-08-31,21.57,22.34,0.2,5.33,5.34,5.61,-0.29,-5.41,2.25,2.32,-3.13
2020-09-01,22.94,22.79,0.0,7.03,7.06,6.99,-0.42,0.55,2.06,2.04,0.9
2020-09-02,23.51,23.17,0.0,6.46,6.48,6.45,-0.3,0.11,1.7,2.13,-24.74
2020-09-03,23.75,23.1,14.0,7.09,7.11,6.34,-0.31,10.61,1.77,2.25,-27.02
2020-09-04,24.01,22.84,0.6,7.29,7.32,7.03,-0.34,3.55,1.94,2.4,-23.58
2020-09-05,22.7,22.85,2.4,5.55,5.56,5.3,-0.3,4.38,2.97,2.66,10.46
2020-09-06,22.75,22.58,7.6,6.84,6.86,6.65,-0.3,2.77,1.79,2.64,-47.67
2020-09-07,20.87,23.01,2.2,3.97,3.98,3.79,-0.29,4.66,3.16,2.6,17.66
2020-09-08,22.07,22.77,0.0,7.09,7.12,6.91,-0.4,2.44,1.94,2.04,-5.17
2020-09-09,21.85,23.15,0.2,5.42,5.44,5.53,-0.41,-1.97,2.11,2.75,-29.91
2020-09-10,23.39,22.08,0.0,7.1,7.12,6.85,-0.34,3.55,1.96,2.42,-23.5
2020-09-11,24.6,23.17,0.0,6.89,6.92,7.03,-0.32,-1.92,1.71,2.32,-35.5
2020-09-12,23.36,23.67,0.8,4.74,4.76,5.72,-0.35,-20.73,2.18,2.87,-31.61
2020-09-13,23.02,23.06,0.0,6.85,6.87,6.98,-0.3,-1.88,1.32,2.19,-65.94
2020-09-14,23.42,23.11,9.6,7.61,7.64,7.35,-0.36,3.47,1.04,1.9,-82.08
2020-09-15,23.88,23.92,0.0,6.95,6.97,7.19,-0.35,-3.39,1.7,2.16,-26.77
2020-09-16,24.06,23.64,0.2,6.5,6.53,6.97,-0.44,-7.28,2.22,2.16,2.57
2020-09-17,24.2,23.78,0.0,7.63,7.65,7.64,-0.35,-0.16,1.1,1.4,-27.45
2020-09-18,24.69,24.38,0.0,7.52,7.54,7.45,-0.31,0.92,1.5,1.6,-6.41
2020-09-19,23.27,23.65,5.6,6.56,6.57,6.57,-0.27,-0.12,1.88,2.53,-34.73
2020-09-20,22.47,23.58,25.0,7.5,7.53,6.91,-0.37,7.92,2.2,2.37,-7.53
2020-09-21,23.42,23.44,0.0,7.56,7.59,7.5,-0.36,0.86,1.34,1.79,-33.29
2020-09-22,23.02,23.03,26.6,5.78,5.8,6.34,-0.35,-9.53,2.45,2.65,-8.16
2020-09-23,22.39,22.9,13.6,6.29,6.3,6.64,-0.23,-5.63,1.88,2.11,-12.08
2020-09-24,21.49,23.34,6.6,4.37,4.39,4.18,-0.35,4.49,2.75,2.99,-8.84
2020-09-25,21.64,23.6,3.6,4.84,4.85,4.42,-0.28,8.62,3.74,2.68,28.48
2020-09-26,22.39,22.26,0.6,6.31,6.33,5.73,-0.42,9.14,3.47,2.99,13.96
2020-09-27,22.98,23.4,1.6,6.51,6.53,6.75,-0.3,-3.7,2.17,2.47,-13.95
2020-09-28,24.2,24.02,0.0,7.5,7.52,6.87,-0.33,8.42,1.93,2.7,-40.02
2020-09-29,23.86,23.26,11.6,6.34,6.36,6.32,-0.36,0.18,2.71,3.09,-13.82
2020-09-30,22.24,23.5,15.2,5.42,5.44,6.07,-0.33,-11.99,3.01,2.94,2.36
2020-10-01,21.27,22.73,2.8,4.36,4.38,4.11,-0.42,5.87,3.23,2.44,24.51
2020-10-02,24.03,23.23,0.0,7.38,7.41,7.02,-0.42,4.88,1.51,2.31,-52.7
